Iteration 649, Best Fitness: 1.3393
Iteration 650, Best Fitness: 1.3393
Iteration 651, Best Fitness: 1.3393
Iteration 652, Best Fitness: 1.3393
Iteration 653, Best Fitness: 1.3393
Iteration 654, Best Fitness: 1.3393
Iteration 655, Best Fitness: 1.3393
Iteration 656, Best Fitness: 1.3393
Iteration 657, Best Fitness: 1.3393
Iteration 658, Best Fitness: 1.3393
Iteration 659, Best Fitness: 1.3393
Iteration 660, Best Fitness: 1.3393
Iteration 661, Best Fitness: 1.3393
Iteration 662, Best Fitness: 1.3393
Iteration 663, Best Fitness: 1.3393
Iteration 664, Best Fitness: 1.3393
Iteration 665, Best Fitness: 1.3393
Iteration 666, Best Fitness: 1.3393
Iteration 667, Best Fitness: 1.3393
Iteration 668, Best Fitness: 1.3393
Iteration 669, Best Fitness: 1.3393
Iteration 670, Best Fitness: 1.3393
Iteration 671, Best Fitness: 1.3393
Iteration 672, Best Fitness: 1.3393
Iteration 673, Best Fitness: 1.3393
Iteration 674, Best Fitness: 1.3393
Iteration 675, Best Fitness: 1.3393
Iteration 676, Best Fitness: 1.3393
Iteration 677, Best Fitness: 1.3393
Iteration 678, Best Fitness: 1.3393
Iteration 679, Best Fitness: 1.3393
Iteration 680, Best Fitness: 1.3393
Iteration 681, Best Fitness: 1.3393
Iteration 682, Best Fitness: 1.3393
Iteration 683, Best Fitness: 1.3393
Iteration 684, Best Fitness: 1.3393
Iteration 685, Best Fitness: 1.3393
Iteration 686, Best Fitness: 1.3393
Iteration 687, Best Fitness: 1.3393
Iteration 688, Best Fitness: 1.3393
Iteration 689, Best Fitness: 1.3393
Iteration 690, Best Fitness: 1.3393
Iteration 691, Best Fitness: 1.3393
Iteration 692, Best Fitness: 1.3393
Iteration 693, Best Fitness: 1.3393
Iteration 694, Best Fitness: 1.3393
Iteration 695, Best Fitness: 1.3393
Iteration 696, Best Fitness: 1.3393
Iteration 697, Best Fitness: 1.3393
Iteration 698, Best Fitness: 1.3393
Iteration 699, Best Fitness: 1.3393
